time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
3.878000,-300.017000,-1100.191498,-300.016227,-0.131112,-14.734268,0.292969,-0.000684,3.540039,-1.233032,-2.660874
3.880000,-300.017000,-1100.191398,-300.016236,0.000000,3.004074,-0.292969,-0.000741,2.978516,-1.870972,-2.542236
3.882000,-300.017000,-1100.191150,-300.016256,0.000000,7.438660,-0.585938,-0.000741,2.978516,-1.409180,-3.457441
3.884000,-300.017000,-1100.191741,-300.016227,0.000000,-17.738342,0.878906,-0.000773,2.380371,-1.642456,-2.203271
3.886000,-300.017000,-1100.191088,-300.016266,0.000000,19.598007,-1.171875,-0.000734,2.380371,-1.828125,-3.576079
3.888000,-300.017000,-1100.191679,-300.016256,0.000000,-17.738342,0.292969,-0.000744,2.557373,-1.404419,-2.720193
3.890000,-300.017000,-1100.191422,-300.016266,0.000000,7.724762,-0.292969,-0.000734,2.557373,-2.028076,-2.974416
3.892000,-300.017000,-1100.191355,-300.016305,0.000000,2.002716,-1.171875,-0.000695,3.411865,-1.494873,-3.567605
3.894000,-300.017000,-1100.191827,-300.016314,0.000000,-14.162064,-0.292969,-0.000686,3.411865,-1.851929,-2.474443
3.896000,-300.017000,-1100.191212,-300.016373,0.000000,18.453598,-1.757812,-0.000627,4.040527,-1.875732,-3.864199
3.898000,-300.017000,-1100.191865,-300.016363,0.000000,-19.598007,0.292969,-0.000637,4.040527,-1.575806,-2.804934
3.900000,-300.017000,-1100.191488,-300.016363,0.000000,11.301041,0.000000,-0.000637,3.796387,-2.142334,-3.347278
3.902000,-300.017000,-1100.191569,-300.016373,0.000000,-2.431870,-0.292969,-0.000627,3.796387,-1.585327,-3.643872
3.904000,-300.017000,-1100.191913,-300.016383,0.000000,-10.299683,-0.292969,-0.000617,3.082275,-2.018555,-2.754089
3.906000,-300.017000,-1100.191374,-300.016441,0.000000,16.164780,-1.757812,-0.000559,3.082275,-1.923340,-4.059104
3.908000,-300.017000,-1100.192037,-300.016451,0.000000,-19.884109,-0.292969,-0.000549,2.880859,-1.732910,-2.915098
3.910000,-300.017000,-1100.191598,-300.016480,0.000000,13.160706,-0.878906,-0.000520,2.880859,-2.218506,-3.635398
3.912000,-300.017000,-1100.191789,-300.016510,0.000000,-5.722046,-0.878906,-0.000490,3.515625,-1.671021,-3.686243
3.914000,-300.017000,-1100.192032,-300.016529,0.000000,-7.295609,-0.585938,-0.000471,3.515625,-2.137573,-2.991365
3.916000,-300.017000,-1100.191579,-300.016568,0.000000,13.589859,-1.171875,-0.000432,4.223633,-1.951904,-4.152319
3.918000,-300.017000,-1100.192208,-300.016568,0.000000,-18.882751,0.000000,-0.000432,4.223633,-1.842407,-3.008313
3.920000,-300.017000,-1100.191741,-300.016607,0.000000,14.019012,-1.171875,-0.000393,4.211426,-2.247070,-3.813354
3.922000,-300.017000,-1100.191998,-300.016637,0.000000,-7.724762,-0.878906,-0.000363,4.211426,-1.737671,-3.686243
3.924000,-300.017000,-1100.192151,-300.016676,0.000000,-4.577637,-1.171875,-0.000324,3.540039,-2.204224,-3.152373
3.926000,-300.017000,-1100.191774,-300.016705,0.000000,11.301041,-0.878906,-0.000295,3.540039,-1.966187,-4.169267
3.928000,-300.017000,-1100.192356,-300.016715,0.000000,-17.452240,-0.292969,-0.000285,3.137207,-1.918579,-3.076106
3.930000,-300.017000,-1100.191884,-300.016764,0.000000,14.162064,-1.464844,-0.000236,3.137207,-2.251831,-3.915044
3.932000,-300.017000,-1100.192184,-300.016783,0.000000,-9.012222,-0.585938,-0.000217,3.533936,-1.775757,-3.652346
3.934000,-300.017000,-1100.192261,-300.016803,0.000000,-2.288818,-0.585938,-0.000197,3.533936,-2.237549,-3.262537
3.936000,-300.017000,-1100.191941,-300.016832,0.000000,9.584427,-0.878906,-0.000168,4.180908,-1.951904,-4.160793
3.938000,-300.017000,-1100.192490,-300.016842,0.000000,-16.450882,-0.292969,-0.000158,4.180908,-1.961426,-3.076106
3.940000,-300.017000,-1100.191998,-300.016891,0.000000,14.734268,-1.464844,-0.000109,4.309082,-2.228027,-3.974363
3.942000,-300.017000,-1100.192342,-300.016910,0.000000,-10.299683,-0.585938,-0.000090,4.309082,-1.780518,-3.584553
3.944000,-300.017000,-1100.192347,-300.016920,0.000000,-0.143051,-0.292969,-0.000080,3.729248,-2.251831,-3.321855
3.946000,-300.017000,-1100.192084,-300.016949,0.000000,7.867813,-0.878906,-0.000051,3.729248,-1.923340,-4.118423
3.948000,-300.017000,-1100.192595,-300.016969,0.000000,-15.306473,-0.585938,-0.000031,3.186035,-1.980469,-3.050684
3.950000,-300.017000,-1100.192089,-300.017018,0.000000,15.163422,-1.464844,0.000018,3.186035,-2.199463,-3.991311
3.952000,-300.017000,-1100.192480,-300.017047,0.000000,-11.730194,-0.878906,0.000047,3.381348,-1.770996,-3.482864
3.954000,-300.017000,-1100.192413,-300.017047,0.000000,2.002716,0.000000,0.000047,3.381348,-2.237549,-3.347278
3.956000,-300.017000,-1100.192199,-300.017057,0.000000,6.437302,-0.292969,0.000057,4.003906,-1.870972,-4.042156
3.958000,-300.017000,-1100.192680,-300.017066,0.000000,-14.448166,-0.292969,0.000066,4.003906,-1.985229,-2.982891
3.960000,-300.017000,-1100.192151,-300.017086,0.000000,15.878677,-0.585938,0.000086,4.266357,-2.142334,-3.982837
3.962000,-300.017000,-1100.192585,-300.017086,0.000000,-13.017654,0.000000,0.000086,4.266357,-1.737671,-3.347278
3.964000,-300.017000,-1100.192437,-300.017096,0.000000,4.434586,-0.292969,0.000096,3.778076,-2.218506,-3.347278
3.966000,-300.017000,-1100.192285,-300.017135,0.000000,4.577637,-1.171875,0.000135,3.778076,-1.799561,-3.931992
3.968000,-300.017000,-1100.192733,-300.017145,0.000000,-13.446808,-0.292969,0.000145,3.100586,-1.980469,-2.889675
3.970000,-300.017000,-1100.192184,-300.017174,0.000000,16.450882,-0.878906,0.000174,3.100586,-2.070923,-3.974363
3.972000,-300.017000,-1100.192676,-300.017164,0.000000,-14.734268,0.292969,0.000164,3.088379,-1.699585,-3.177795
3.974000,-300.017000,-1100.192437,-300.017184,0.000000,7.152557,-0.585938,0.000184,3.088379,-2.189941,-3.347278
3.976000,-300.017000,-1100.192361,-300.017193,0.000000,2.288818,-0.292969,0.000193,3.698730,-1.713867,-3.796406
3.978000,-300.017000,-1100.192757,-300.017193,0.000000,-11.873245,0.000000,0.000193,3.698730,-1.975708,-2.787986
3.980000,-300.017000,-1100.192194,-300.017223,0.000000,16.880035,-0.878906,0.000223,4.138184,-1.980469,-3.940466
3.982000,-300.017000,-1100.192752,-300.017203,0.000000,-16.736984,0.585938,0.000203,4.138184,-1.661499,-2.965942
3.984000,-300.017000,-1100.192399,-300.017213,0.000000,10.585785,-0.292969,0.000213,3.802490,-2.151855,-3.364226
3.986000,-300.017000,-1100.192432,-300.017223,0.000000,-1.001358,-0.292969,0.000223,3.802490,-1.609131,-3.618450
3.988000,-300.017000,-1100.192747,-300.017232,0.000000,-9.441376,-0.292969,0.000232,3.015137,-1.975708,-2.703245
